person,function,functionGroup,since,contractUntil,certifications,years_experience,notable_achievements,coaching_philosophy,contact_email,phone_number,profile_rating,availability_status
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2023-01-27,2025-01-02,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.57,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-03-06,2025-07-13,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.43,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2017-01-03,2019-12-26,Basic Coaching Certificate,5,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.05,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2019-01-03,2021-07-14,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.03,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-06-17,2026-06-08,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.54,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-06-17,2023-08-26,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.68,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-06-09,2025-10-12,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.8,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-09-17,2025-06-08,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.73,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-06-21,2022-06-08,"Advanced GK Training, UEFA GK A License",19,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.8,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-06-17,2026-06-08,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",25,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.3,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-06-09,2025-02-16,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.87,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-06-09,2027-06-08,"FIFA Management Certificate, Football Management Degree, Sports Administration",15,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.07,False
Augustin Senghor (Senegal),President,Board,2015-06-17,2018-03-17,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.96,True
Moise Katumbi (DR Congo),Chairman,Board,2020-08-23,2022-12-12,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.09,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-08-23,2023-02-03,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.35,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-09-09,2022-10-24,Advanced Tactical Analysis Certificate,13,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.8,False
Mohamed Mansour (Egypt),Owner,Board,2017-08-03,2019-08-24,"Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.4,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-08-04,2020-01-15,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.22,True
Mohamed Mansour (Egypt),Owner,Board,2020-08-06,2022-12-15,"Basic Coaching Certificate, Basic Coaching Certificate",24,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,False
Christopher Samba (Congo),Advisor,Board,2022-05-10,2024-12-06,Basic Coaching Certificate,26,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.71,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-06-09,2022-06-30,"Talent Identification Certificate, Player Analysis",24,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,True
